"as_of_date","classification_for_rate_setting","corresponding_generic_drug_effective_date","corresponding_generic_drug_nadac_per_unit","effective_date","explanation_code","nadac_per_unit","ndc","ndc_description","otc","pharmacy_type_indicator","pricing_unit"
"2015-03-25T00:00:00.000","G",,,"2015-03-18T00:00:00.000","1, 5","0.00649","00536741551","ENEMA","Y","C/I","ML"
"2015-04-01T00:00:00.000","G",,,"2015-03-18T00:00:00.000","1, 5","0.02131","00536196297","SEBEX SHAMPOO","Y","C/I","ML"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.07795","24658030410","SIMVASTATIN 80 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","B",,,"2016-01-01T00:00:00.000","2","5.6364","00071101768","LYRICA 200 MG CAPSULE","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.68732","65162072409","RABEPRAZOLE SOD DR 20 MG TAB","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.01996","51079098220","LISINOPRIL 10 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.05789","24385012576","FIBER TABS","Y","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.14654","65862012460","RISPERIDONE 4 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","B",,,"2015-10-06T00:00:00.000","2","9.37485","64764055030","BRINTELLIX 5 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.06239","68001021300","LOVASTATIN 10 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.14923","68084011911","MIRTAZAPINE 15 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.04437","63739057010","SIMVASTATIN 5 MG TABLET","N","C/I","EA"
